        TIME                    X      Y      RAWX   RAWY   DETX   DETY
        s                       pixel  pixel  pixel  pixel  pixel  pixel
    728   4.729408098236034E+08    705   -551    267    588    268    589
    729   4.729408098236034E+08    564   -833    485    361    486    362
    730   4.729408098236034E+08   1027   -833     42    223     43    224
    731   4.729408098236034E+08    561  -1078    559    127    560    128
    732   4.729408098236034E+08    595   -591    383    582    384    583
    733   4.729408098236034E+08    566  -1024    538    177    539    178
    734   4.729408098236034E+08    854  -1067    275     50    276     51
    735   4.729408123309317E+08    732   -641    269    495    270    496
    736   4.729408123309317E+08    721   -591    264    545    265    546
    737   4.729408123309317E+08    991   -659     27    401     28    402
    738   4.729408123309317E+08    594   -883    472    304    473    305
    739   4.729408123309317E+08    920   -895    164    196    165    197
    740   4.729408123309317E+08    864   -638    142    459    143    460
    741   4.729408123309317E+08    790   -672    223    447    224    448
    742   4.729408123309317E+08    597   -953    490    236    491    237
    743   4.729408123309317E+08    832  -1075    300     49    301     50
    744   4.729408123309317E+08    757   -783    287    351    288    352
    745   4.729408148382517E+08   1025   -811     38    245     39    246
    746   4.729408148382517E+08    867   -879    210    227    211    228
    747   4.729408148382517E+08    910   -778    139    311    140    312
    748   4.729408148382517E+08    912   -967    193    130    194    131
    749   4.729408148382517E+08    875   -920    214    186    215    187
    750   4.729408148382517E+08    464   -863    590    362    591    363
    751   4.729408148382517E+08    888   -775    159    320    160    321
    752   4.729408148382517E+08    687   -981    412    183    413    184
    753   4.729408148382517E+08    560   -871    501    326    502    327
    754   4.729408148382517E+08    620  -1097    510     91    511     92
    755   4.729408148382517E+08    918   -625     86    454     87    455
    756   4.729408148382517E+08    710   -725    315    421    316    422
    757   4.729408148382517E+08    669   -561    305    590    306    591
    758   4.729408173455917E+08    850   -594    142    504    143    505
    759   4.729408173455917E+08    616   -676    390    495    391    496
    760   4.729408173455917E+08    893   -680    126    410    127    411
    761   4.729408173455917E+08    815   -638    188    472    189    473
    762   4.729408173455917E+08    813  -1066    316     64    317     65
    763   4.729408198528917E+08    700  -1139    445     28    446     29
    764   4.729408198528917E+08    586   -852    470    336    471    337
    765   4.729408198528917E+08    975   -924    120    152    121    153
    766   4.729408223601917E+08    584   -750    442    433    443    434
    767   4.729408223601917E+08   1028   -833     42    223     43    224
    768   4.729408223601917E+08    959   -862    117    216    118    217
    769   4.729408223601917E+08    835   -949    261    169    262    170
    770   4.729408223601917E+08    910   -604     88    476     89    477
    771   4.729408223601917E+08    549   -648    445    541    446    542
    772   4.729408223601917E+08    508   -766    519    440    520    441
    773   4.729408223601917E+08    619  -1097    510     91    511     92
    774   4.729408223601917E+08    817   -931    273    192    274    193
    775   4.729408223601917E+08   1049   -945     55    110     56    111
    776   4.729408223601917E+08    863   -637    142    459    143    460
    777   4.729408248675517E+08    628   -987    470    194    471    195
    778   4.729408248675517E+08    964   -761     82    311     83    312
    779   4.729408248675517E+08    975   -923    120    152    121    153
    780   4.729408248675517E+08    483   -817    558    400    559    401
    781   4.729408248675517E+08    641   -706    375    459    376    460
    782   4.729408248675517E+08    604   -996    495    193    496    194
    783   4.729408248675517E+08    679  -1097    453     74    454     75
    784   4.729408273748317E+08    667   -689    345    468    346    469
    785   4.729408273748317E+08    920   -895    164    196    165    197
    786   4.729408298821517E+08    905   -843    163    250    164    251
    787   4.729408298821517E+08    826  -1071    305     55    306     56
    788   4.729408298821517E+08    715   -686    298    456    299    457
    789   4.729408323894917E+08    810  -1013    304    116    305    117
    790   4.729408323894917E+08    629  -1003    473    179    474    180
    791   4.729408323894917E+08    867   -951    231    159    232    160
    792   4.729408323894917E+08    803   -635    199    480    200    481
    793   4.729408348967717E+08    614  -1015    491    172    492    173
    794   4.729408348967717E+08    643  -1049    473    131    474    132
    795   4.729408348967717E+08    733   -955    360    194    361    195
    796   4.729408348967717E+08    659   -807    387    358    388    359
    797   4.729408348967717E+08    621   -654    379    515    380    516
    798   4.729408374041117E+08    613  -1015    491    172    492    173
    799   4.729408374041117E+08    654   -991    446    183    447    184
    800   4.729408374041117E+08    835   -949    261    169    262    170
    801   4.729408374041117E+08    920  -1005    196     91    197     92
    802   4.729408374041117E+08    627   -987    470    194    471    195
    803   4.729408374041117E+08    874   -699    150    397    151    398
    804   4.729408374041117E+08    954   -638     55    432     56    433
    805   4.729408374041117E+08    483   -817    558    400    559    401
    806   4.729408374041117E+08    872   -904    212    201    213    202
    807   4.729408374041117E+08    631   -697    382    471    383    472
    808   4.729408399114317E+08    715   -687    298    456    299    457
    809   4.729408399114317E+08    847   -925    242    189    243    190
    810   4.729408399114317E+08    746   -889    328    253    329    254
    811   4.729408399114317E+08    690  -1110    446     58    447     59
    812   4.729408399114317E+08    464   -757    558    463    559    464
    813   4.729408399114317E+08    945   -757     98    321     99    322
    814   4.729408424187717E+08   1044   -845     30    207     31    208
    815   4.729408424187717E+08    649  -1135    493     47    494     48
    816   4.729408424187717E+08    565   -833    485    361    486    362
    817   4.729408424187717E+08    760   -652    244    476    245    477
    818   4.729408424187717E+08    860   -884    217    224    218    225
    819   4.729408424187717E+08    668   -721    353    437    354    438
    820   4.729408424187717E+08    867   -950    231    159    232    160
    821   4.729408424187717E+08    809  -1014    304    116    305    117
    822   4.729408424187717E+08    964   -762     82    311     83    312
    823   4.729408424187717E+08    504   -678    497    526    498    527
    824   4.729408499407117E+08    644   -694    367    470    368    471
    825   4.729408499407117E+08    781   -579    203    539    204    540
    826   4.729408499407117E+08    596   -591    383    582    384    583
    827   4.729408499407117E+08    676   -573    301    576    302    577
    828   4.729408499407117E+08    796  -1127    349     11    350     12
    829   4.729408499407117E+08    892   -667    123    422    124    423
    830   4.729408499407117E+08   1025   -812     38    245     39    246
    831   4.729408524480116E+08    835   -950    261    169    262    170
    832   4.729408524480116E+08    473   -823    569    398    570    399
    833   4.729408524480116E+08    613   -805    430    373    431    374
    834   4.729408524480116E+08    809  -1014    304    116    305    117
    835   4.729408524480116E+08    883   -607    114    482    115    483
    836   4.729408524480116E+08    775   -534    195    584    196    585
    837   4.729408549553317E+08    643   -882    424    291    425    292
    838   4.729408549553317E+08    860   -885    217    224    218    225
    839   4.729408549553317E+08    618  -1098    510     91    511     92
    840   4.729408549553317E+08    883   -608    114    482    115    483
    841   4.729408549553317E+08    708   -720    313    427    314    428
    842   4.729408574626718E+08    746   -889    328    253    329    254
    843   4.729408574626718E+08    911   -675    106    408    107    409
    844   4.729408574626718E+08    585   -851    470    336    471    337
    845   4.729408574626718E+08    761   -958    334    182    335    183
    846   4.729408574626718E+08   1004   -986    110     84    111     85
    847   4.729408574626718E+08    616   -990    482    195    483    196
    848   4.729408574626718E+08    868   -729    163    370    164    371
    849   4.729408574626718E+08    590   -866    470    321    471    322
    850   4.729408574626718E+08    845   -728    186    377    187    378
    851   4.729408599699516E+08    549   -648    445    541    446    542
    852   4.729408599699516E+08   1015   -840     57    220     58    221
    853   4.729408599699516E+08    760   -651    244    476    245    477
    854   4.729408599699516E+08    681  -1060    440    109    441    110
    855   4.729408599699516E+08    866   -950    231    159    232    160
    856   4.729408599699516E+08    544   -780    489    417    490    418
    857   4.729408599699516E+08    777  -1093    357     48    358     49
    858   4.729408599699516E+08    990   -658     27    401     28    402
    859   4.729408624772717E+08    680  -1060    440    109    441    110
    860   4.729408624772717E+08    668   -561    305    590    306    591
    861   4.729408624772717E+08    593   -884    472    304    473    305
    862   4.729408624772717E+08   1043   -963     66     95     67     96
    863   4.729408624772717E+08    831  -1076    300     49    301     50
    864   4.729408624772717E+08    689  -1110    446     58    447     59
    865   4.729408649846117E+08    909   -778    139    311    140    312
    866   4.729408649846117E+08    550   -932    528    270    529    271
    867   4.729408649846117E+08    844   -729    186    377    187    378
    868   4.729408649846117E+08    990   -659     27    401     28    402
    869   4.729408649846117E+08    948   -643     62    428     63    429
    870   4.729408649846117E+08    592   -626    397    550    398    551
    871   4.729408649846117E+08    945   -757     98    321     99    322
    872   4.729408674919117E+08    667   -721    353    437    354    438
    873   4.729408674919117E+08    968  -1021    154     61    155     62
    874   4.729408674919117E+08    729   -894    345    253    346    254
    875   4.729408674919117E+08    596   -953    490    236    491    237
    876   4.729408674919117E+08   1015   -883     69    179     70    180
    877   4.729408699992316E+08    472   -822    569    398    570    399
    878   4.729408699992316E+08    777  -1060    347     80    348     81
    879   4.729408699992316E+08    883  -1053    244     55    245     56
    880   4.729408699992316E+08    866   -879    210    227    211    228
    881   4.729408725065717E+08    612   -804    430    373    431    374
    882   4.729408725065717E+08   1049   -945     55    110     56    111
    883   4.729408725065717E+08    705   -551    267    588    268    589
    884   4.729408725065717E+08    667   -721    353    437    354    438
    885   4.729408750138517E+08    941   -874    137    209    138    210
    886   4.729408750138517E+08    930   -636     77    440     78    441
    887   4.729408750138517E+08    564   -832    485    361    486    362
    888   4.729408750138517E+08    939   -830    126    252    127    253
    889   4.729408750138517E+08    921   -929    172    162    173    163
    890   4.729408750138517E+08    714   -686    298    456    299    457
    891   4.729408750138517E+08    561  -1078    559    127    560    128
    892   4.729408775211716E+08    958   -862    117    216    118    217
    893   4.729408775211716E+08    507   -693    498    511    499    512
    894   4.729408800285117E+08    886   -775    159    320    160    321
    895   4.729408800285117E+08    704   -677    304    467    305    468
    896   4.729408800285117E+08    863   -790    186    313    187    314
    897   4.729408825358117E+08   1048   -857     29    194     30    195
    898   4.729408850431317E+08    670   -761    362    397    363    398
    899   4.729408850431317E+08    854  -1013    261    103    262    104
    900   4.729408850431317E+08    644   -693    367    470    368    471
    901   4.729408850431317E+08    647  -1134    493     47    494     48
    902   4.729408850431317E+08    811  -1066    316     64    317     65
    903   4.729408875504516E+08    517   -782    514    423    515    424
    904   4.729408875504516E+08    708   -725    315    421    316    422
    905   4.729408875504516E+08    824  -1086    310     41    311     42
    906   4.729408875504516E+08    910   -935    183    161    184    162
    907   4.729408875504516E+08    930   -636     77    440     78    441
    908   4.729408875504516E+08    615   -677    390    495    391    496
    909   4.729408900577917E+08    827   -714    198    396    199    397
    910   4.729408900577917E+08    965   -682     56    386     57    387
    911   4.729408925650717E+08    796  -1127    349     11    350     12
    912   4.729408925650717E+08    508   -767    519    440    520    441
    913   4.729408925650717E+08    873   -920    214    186    215    187
    914   4.729408950724317E+08    720   -700    296    441    297    442
    915   4.729408950724317E+08    875   -771    169    328    170    329
    916   4.729408950724317E+08    658   -806    387    358    388    359
    917   4.729408950724317E+08    963   -761     82    311     83    312
    918   4.729408950724317E+08    481   -817    558    400    559    401
    919   4.729408975796917E+08    471   -821    569    398    570    399
    920   4.729408975796917E+08    868   -729    163    370    164    371
    921   4.729409000870317E+08    585   -852    470    336    471    337
    922   4.729409000870317E+08    565  -1024    538    177    539    178
    923   4.729409000870317E+08    871   -905    212    201    213    202
    924   4.729409000870317E+08    535   -912    536    293    537    294
    925   4.729409025943517E+08    535   -623    450    569    451    570
    926   4.729409025943517E+08    692  -1056    427    109    428    110
    927   4.729409025943517E+08    667   -561    305    590    306    591
    928   4.729409051016917E+08    995   -707     35    353     36    354
    929   4.729409051016917E+08    869   -771    174    328    175    329
    930   4.729409051016917E+08    507   -767    519    440    520    441
    931   4.729409051016917E+08    548   -986    544    218    545    219
    932   4.729409076089717E+08    882   -879    194    222    195    223
    933   4.729409076089717E+08    529   -717    484    481    485    482
    934   4.729409076089717E+08    761   -958    334    182    335    183
    935   4.729409076089717E+08    544   -769    484    427    485    428
    936   4.729409101163117E+08    599   -795    440    386    441    387
    937   4.729409101163117E+08    667  -1055    451    117    452    118
    938   4.729409101163117E+08    533   -669    466    525    467    526
    939   4.729409101163117E+08   1028   -833     42    223     43    224
    940   4.729409101163117E+08    465   -757    556    461    557    462
    941   4.729409126236317E+08    744   -709    276    426    277    427
    942   4.729409126236317E+08    995   -708     35    353     36    354
    943   4.729409126236317E+08    594   -788    442    394    443    395
    944   4.729409151309317E+08    523   -927    551    283    552    284
    945   4.729409151309317E+08    674   -846    383    316    384    317
    946   4.729409176382517E+08    811  -1066    316     64    317     65
    947   4.729409201455917E+08    568   -609    414    573    415    574
    948   4.729409201455917E+08    994   -952    108    119    109    120
    949   4.729409201455917E+08    944   -757     98    321     99    322
    950   4.729409226528717E+08    839   -897    241    218    242    219
    951   4.729409251601917E+08    974   -924    120    152    121    153
    952   4.729409251601917E+08   1018   -983     95     82     96     83
    953   4.729409500205034E+08   1146   -266    138    370    139    371
    954   4.729409500205034E+08   1020   -502    328    182    329    183
    955   4.729409500205034E+08   1090   -125    150    521    151    522
    956   4.729409500205034E+08    911   -156    330    544    331    545
    957   4.729409500205034E+08   1263   -389     63    218     64    219
    958   4.729409500205034E+08    720   -342    568    422    569    423
    959   4.729409500205034E+08    885   -565    475    162    476    163
    960   4.729409500205034E+08   1135   -509    221    141    222    142
    961   4.729409500205034E+08   1062   -557    304    116    305    117
    962   4.729409525277917E+08    968   -230    298    456    299    457
    963   4.729409525277917E+08   1122   -338    183    308    184    309
    964   4.729409525277917E+08    850   -497    490    236    491    237
    965   4.729409550351117E+08   1129   -315    169    328    170    329
    966   4.729409550351117E+08    821   -568    538    177    539    178
    967   4.729409550351117E+08    935   -603    440    109    441    110
    968   4.729409550351117E+08   1138   -389    182    254    183    255
    969   4.729409550351117E+08   1125   -607    259     49    260     50
    970   4.729409550351117E+08    745   -405    563    354    564    355
    971   4.729409550351117E+08   1199   -300     98    321     99    322
    972   4.729409550351117E+08    934   -530    419    180    420    181
    973   4.729409550351117E+08    804   -476    528    270    529    271
    974   4.729409550351117E+08   1129   -622    259     35    260     36
    975   4.729409550351117E+08   1202   -188     62    428     63    429
    976   4.729409550351117E+08   1163   -322    139    311    140    312
    977   4.729409575424517E+08    746   -406    563    354    564    355
    978   4.729409575424517E+08   1264   -390     63    218     64    219
    979   4.729409575424517E+08    899   -238    367    470    368    471
    980   4.729409575424517E+08    883   -489    456    234    457    235
    981   4.729409575424517E+08   1211   -522    152    107    153    108
    982   4.729409575424517E+08    969   -230    298    456    299    457
    983   4.729409575424517E+08   1200   -301     98    321     99    322
    984   4.729409600497517E+08   1169   -157     85    467     86    468
    985   4.729409600497517E+08    745   -452    577    310    578    311
    986   4.729409600497517E+08   1132   -354    179    290    180    291
    987   4.729409600497517E+08    959   -162    286    524    287    525
    988   4.729409600497517E+08   1092   -281    195    372    196    373
    989   4.729409625570517E+08    840   -397    470    336    471    337
    990   4.729409625570517E+08    885   -315    403    400    404    401
    991   4.729409625570517E+08    867   -349    430    373    431    374
    992   4.729409625570517E+08   1032   -601    346     84    347     85
    993   4.729409650644118E+08   1169   -158     85    467     86    468
    994   4.729409650644118E+08    935   -530    419    180    420    181
    995   4.729409650644118E+08    873   -643    510     91    511     92
    996   4.729409675716916E+08    923   -183    328    516    329    517
    997   4.729409675716916E+08   1147   -266    138    370    139    371
    998   4.729409675716916E+08    746   -452    577    310    578    311
    999   4.729409675716916E+08   1041   -413    283    260    284    261
   1000   4.729409700790117E+08    899   -238    367    470    368    471
   1001   4.729409700790117E+08    885   -564    475    162    476    163
   1002   4.729409700790117E+08    832   -598    537    146    538    147
   1003   4.729409700790117E+08   1176   -268    111    359    112    360
   1004   4.729409700790117E+08   1196   -419    137    209    138    210
   1005   4.729409700790117E+08    841   -396    470    336    471    337
   1006   4.729409700790117E+08    823   -154    414    573    415    574
   1007   4.729409700790117E+08    909   -329    384    381    385    382
   1008   4.729409700790117E+08    869   -535    482    195    483    196
   1009   4.729409700790117E+08   1274   -456     72    152     73    153
   1010   4.729409725863317E+08    760   -371    539    383    540    384
   1011   4.729409725863317E+08   1293   -361     27    236     28    237
   1012   4.729409725863317E+08   1092   -415    235    244    236    245
   1013   4.729409725863317E+08    831   -598    537    146    538    147
   1014   4.729409725863317E+08   1032   -639    357     48    358     49
   1015   4.729409750936717E+08   1023    -85    203    580    204    581
   1016   4.729409750936717E+08   1159   -388    163    250    164    251
   1017   4.729409750936717E+08   1092   -415    235    244    236    245
   1018   4.729409750936717E+08   1126   -449    212    201    213    202
   1019   4.729409750936717E+08    804   -476    528    270    529    271
   1020   4.729409776009717E+08   1125   -317    174    328    175    329
   1021   4.729409776009717E+08   1164   -323    139    311    140    312
   1022   4.729409776009717E+08   1158   -609    228     39    229     40
   1023   4.729409776009717E+08    860   -383    447    343    448    344
   1024   4.729409801082917E+08   1125   -317    174    328    175    329
   1025   4.729409826155917E+08    954   -684    445     28    446     29
   1026   4.729409826155917E+08   1032   -639    357     48    358     49
   1027   4.729409826155917E+08   1000   -434    328    253    329    254
   1028   4.729409851229116E+08   1158   -609    228     39    229     40
   1029   4.729409851229116E+08    955   -187    297    502    298    503
   1030   4.729409851229116E+08    858   -595    510    141    511    142
   1031   4.729409851229116E+08   1105   -450    232    207    233    208
   1032   4.729409876302317E+08    745   -406    563    354    564    355
   1033   4.729409876302317E+08   1178   -323    125    306    126    307
   1034   4.729409876302317E+08   1282   -505     79    103     80    104
   1035   4.729409876302317E+08   1222   -567    154     61    155     62
   1036   4.729409876302317E+08    998   -253    276    426    277    427
   1037   4.729409901375718E+08    884   -490    456    234    457    235
   1038   4.729409901375718E+08    907   -536    446    183    447    184
   1039   4.729409901375718E+08   1135   -509    221    141    222    142
   1040   4.729409901375718E+08   1282   -505     79    103     80    104
   1041   4.729409901375718E+08   1082   -556    284    111    285    112
   1042   4.729409926448516E+08   1208   -420    125    206    126    207
   1043   4.729409926448516E+08    911   -157    330    544    331    545
   1044   4.729409926448516E+08    922   -183    328    516    329    517
   1045   4.729409926448516E+08   1147   -266    138    370    139    371
   1046   4.729409951521917E+08    823   -154    414    573    415    574
   1047   4.729409951521917E+08   1126   -449    212    201    213    202
   1048   4.729409951521917E+08    877   -600    493    130    494    131
   1049   4.729409951521917E+08   1019   -350    285    328    286    329
   1050   4.729409951521917E+08   1197   -295     98    328     99    329
   1051   4.729409976594917E+08   1195   -419    137    209    138    210
   1052   4.729410001668117E+08    872   -643    510     91    511     92
   1053   4.729410001668117E+08    975   -245    296    441    297    442
   1054   4.729410001668117E+08    818   -378    485    361    486    362
   1055   4.729410026741316E+08   1178   -322    125    306    126    307
   1056   4.729410026741316E+08   1023    -84    203    580    204    581
   1057   4.729410026741316E+08    872   -642    510     91    511     92
   1058   4.729410051814718E+08    921   -265    353    437    354    438
   1059   4.729410051814718E+08   1111   -190    150    453    151    454
   1060   4.729410051814718E+08   1124   -317    174    328    175    329
   1061   4.729410076887517E+08   1153   -253    127    381    128    382
   1062   4.729410076887517E+08   1177   -323    125    306    126    307
   1063   4.729410101960716E+08    921   -183    328    516    329    517
   1064   4.729410101960716E+08    906   -644    478     80    479     81
   1065   4.729410101960716E+08    941   -669    453     46    454     47
   1066   4.729410101960716E+08    849   -333    442    394    443    395
   1067   4.729410127034117E+08    858   -197    393    521    394    522
   1068   4.729410127034117E+08    726   -365    569    398    570    399
   1069   4.729410127034117E+08   1135   -509    221    141    222    142
   1070   4.729410152107117E+08   1196   -294     98    328     99    329
   1071   4.729410152107117E+08   1291   -363     27    236     28    237
   1072   4.729410152107117E+08   1270   -467     79    142     80    143
   1073   4.729410177180317E+08   1222   -567    154     61    155     62
   1074   4.729410177180317E+08    739   -265    527    490    528    491
   1075   4.729410177180317E+08    744   -452    577    310    578    311
   1076   4.729410177180317E+08   1153   -286    138    349    139    350
   1077   4.729410177180317E+08   1274   -456     72    152     73    153
   1078   4.729410177180317E+08    849   -333    442    394    443    395
   1079   4.729410202253717E+08   1040   -414    283    260    284    261
   1080   4.729410202253717E+08   1281   -379     42    223     43    224
   1081   4.729410202253717E+08   1136   -424    194    222    195    223
   1082   4.729410202253717E+08    906   -535    446    183    447    184
   1083   4.729410202253717E+08    877   -600    493    130    494    131
   1084   4.729410227326517E+08   1212   -408    117    216    118    217
   1085   4.729410252399717E+08   1302   -402     29    194     30    195
   1086   4.729410252399717E+08   1023    -84    203    580    204    581
   1087   4.729410252399717E+08   1275   -247      9    350     10    351
   1088   4.729410252399717E+08    882   -490    456    234    457    235
   1089   4.729410302545917E+08    866   -350    430    373    431    374
   1090   4.729410327619317E+08    999   -434    328    253    329    254
   1091   4.729410327619317E+08   1153   -286    138    349    139    350
   1092   4.729410327619317E+08    753   -259    511    492    512    493
   1093   4.729410327619317E+08   1281   -379     42    223     43    224
   1094   4.729410352692717E+08    955   -187    297    502    298    503
   1095   4.729410377765517E+08   1196   -294     98    328     99    329
   1096   4.729410377765517E+08   1292   -362     27    236     28    237
   1097   4.729410402838717E+08   1078   -494    270    173    271    174
   1098   4.729410402838717E+08   1121   -343    184    303    185    304
   1099   4.729410402838717E+08   1275   -248      9    350     10    351
   1100   4.729410402838717E+08   1049   -671    349     11    350     12
   1101   4.729410427912117E+08   1119   -495    231    159    232    160
   1102   4.729410427912117E+08    906   -536    446    183    447    184
   1103   4.729410427912117E+08    759   -371    539    383    540    384
   1104   4.729410427912117E+08    964   -537    391    165    392    166
   1105   4.729410452984917E+08    893   -251    375    459    376    460
   1106   4.729410478058117E+08   1236   -562    139     61    140     62
   1107   4.729410478058117E+08   1152   -286    138    349    139    350
   1108   4.729410478058117E+08    720   -343    568    422    569    423
   1109   4.729410503131717E+08    830   -598    537    146    538    147
   1110   4.729410528204517E+08   1114   -428    217    224    218    225
   1111   4.729410528204517E+08    912   -351    387    358    388    359
   1112   4.729410553277717E+08    934   -530    419    180    420    181
   1113   4.729410553277717E+08   1281   -504     79    103     80    104
   1114   4.729410578351117E+08   1275   -248      9    350     10    351
   1115   4.729410578351117E+08   1125   -449    212    201    213    202
   1116   4.729410578351117E+08   1121   -338    183    308    184    309
   1117   4.729410578351117E+08   1105   -472    238    185    239    186
   1118   4.729410578351117E+08   1053   -596    324     82    325     83
   1119   4.729410603423917E+08   1005   -476    335    211    336    212
   1120   4.729410628497117E+08    720   -342    568    422    569    423
   1121   4.729410628497117E+08   1278   -269     13    328     14    329
   1122   4.729410892213434E+08    887    -67    196    128    197    129
   1123   4.729410892213434E+08    787   -110    304    116    305    117
   1124   4.729410892213434E+08    630   -176    473    100    474    101
   1125   4.729410892213434E+08    804    358    150    558    151    559
   1126   4.729410892213434E+08    458     86    561    400    562    401
   1127   4.729410892213434E+08    914    -40    162    146    163    147
   1128   4.729410892213434E+08    647   -120    441    149    442    150
   1129   4.729410892213434E+08    866    230    128    418    129    419
   1130   4.729410892213434E+08    609    132    403    400    404    401
   1131   4.729410917286317E+08    807    -40    264    177    265    178
   1132   4.729410917286317E+08    478    188    511    492    512    493
   1133   4.729410917286317E+08    866    230    128    418    129    419
   1134   4.729410917286317E+08    646   -118    441    149    442    150
   1135   4.729410917286317E+08   1024  -8192     46    150     47    151
   1136   4.729410917286317E+08    841    265    142    459    143    460
   1137   4.729410917286317E+08    870    224    126    410    127    411
   1138   4.729410917286317E+08    574   -132    514    157    515    158
   1139   4.729410917286317E+08    778   -148    324     82    325     83
   1140   4.729410917286317E+08    842    -30    228    176    229    177
   1141   4.729410917286317E+08    833    -84    252    127    253    128
   1142   4.729410917286317E+08    742     98    285    328    286    329
   1143   4.729410942359517E+08    680    261    297    502    298    503
   1144   4.729410942359517E+08    686    -91    395    164    396    165
   1145   4.729410942359517E+08    807    -40    264    177    265    178
   1146   4.729410942359517E+08    650    243    331    494    332    495
   1147   4.729410942359517E+08    998     -7     72    152     73    153
   1148   4.729410942359517E+08    936     41    117    216    118    217
   1149   4.729410967432917E+08    870    182    138    370    139    371
   1150   4.729410967432917E+08    680    261    297    502    298    503
   1151   4.729410967432917E+08    835    258    150    453    151    454
   1152   4.729410967432917E+08    607    -42    456    234    457    235
   1153   4.729410967432917E+08    678   -145    418    115    419    116
   1154   4.729410967432917E+08    922    269     63    438     64    439
   1155   4.729410967432917E+08    452    139    551    451    552    452
   1156   4.729410967432917E+08    663    269    311    514    312    515
   1157   4.729410992505717E+08    823    174    186    377    187    378
   1158   4.729410992505717E+08    609    133    403    400    404    401
   1159   4.729410992505717E+08    893      4    169    194    170    195
   1160   4.729410992505717E+08    730    209    265    437    266    438
   1161   4.729411017578917E+08    658    -83    419    180    420    181
   1162   4.729411017578917E+08    609    132    403    400    404    401
   1163   4.729411017578917E+08    602   -174    501    109    502    110
   1164   4.729411017578917E+08    670    299    295    542    296    543
   1165   4.729411042652518E+08    903    124    125    306    126    307
   1166   4.729411067725117E+08    877    162    138    349    139    350
   1167   4.729411067725117E+08    518   -114    563    191    564    192
   1168   4.729411067725117E+08    606    -85    470    194    471    195
   1169   4.729411092798517E+08   1011    110     26    260     27    261
   1170   4.729411092798517E+08    484     76    539    383    540    384
   1171   4.729411117871917E+08    854    175    156    369    157    370
   1172   4.729411142944717E+08    613    127    401    394    402    395
   1173   4.729411142944717E+08    937     40    117    216    118    217
   1174   4.729411142944717E+08    685    285    286    524    287    525
   1175   4.729411142944717E+08    854    132    169    328    170    329
   1176   4.729411168017917E+08    451     81    569    398    570    399
   1177   4.729411168017917E+08    516     40    519    339    520    340
   1178   4.729411168017917E+08    774    -98    313    132    314    133
   1179   4.729411193091317E+08    653     57    383    316    384    317
   1180   4.729411193091317E+08    845    185    162    381    163    382
   1181   4.729411193091317E+08    839     18    217    224    218    225
   1182   4.729411193091317E+08    888    297     88    476     89    477
   1183   4.729411218164117E+08    489     96    529    401    530    402
   1184   4.729411218164117E+08    887    124    139    311    140    312
   1185   4.729411218164117E+08    902    123    125    306    126    307
   1186   4.729411218164117E+08    687    -91    395    164    396    165
   1187   4.729411218164117E+08    808    -41    264    177    265    178
   1188   4.729411218164117E+08    998    156     24    308     25    309
   1189   4.729411218164117E+08    923    268     63    438     64    439
   1190   4.729411243237317E+08    497     32    540    337    541    338
   1191   4.729411243237317E+08    593   -112    491    172    492    173
   1192   4.729411243237317E+08    995    -37     84    125     85    126
   1193   4.729411243237317E+08    595   -100    485    183    486    184
   1194   4.729411243237317E+08    588    -78    485    205    486    206
   1195   4.729411243237317E+08    612     82    415    353    416    354
   1196   4.729411268310918E+08    546   -150    546    149    547    150
   1197   4.729411268310918E+08    774    -98    313    132    314    133
   1198   4.729411293383716E+08    887    -67    196    128    197    129
   1199   4.729411293383716E+08    811   -173    300     49    301     50
   1200   4.729411293383716E+08    452    137    551    451    552    452
   1201   4.729411318456917E+08    519   -115    563    191    564    192
   1202   4.729411318456917E+08    975    195     35    353     36    354
   1203   4.729411318456917E+08    812   -174    300     49    301     50
   1204   4.729411318456917E+08    636    -90    443    181    444    182
   1205   4.729411318456917E+08    915    -40    162    146    163    147
   1206   4.729411343530318E+08    898      6    164    196    165    197
   1207   4.729411343530318E+08    597    -81    477    200    478    201
   1208   4.729411343530318E+08    742     -3    316    233    317    234
   1209   4.729411368603116E+08   1006    -57     79    103     80    104
   1210   4.729411368603116E+08    915    -40    162    146    163    147
   1211   4.729411368603116E+08    765     33    283    260    284    261
   1212   4.729411368603116E+08    593   -112    491    172    492    173
   1213   4.729411393676317E+08    613    126    401    394    402    395
   1214   4.729411393676317E+08    592     33    449    310    450    311
   1215   4.729411393676317E+08    868   -186    249     20    250     21
   1216   4.729411418749917E+08    680    260    297    502    298    503
   1217   4.729411418749917E+08    856   -134    245     73    246     74
   1218   4.729411418749917E+08    646    182    353    437    354    438
   1219   4.729411418749917E+08    646    264    328    516    329    517
   1220   4.729411443822517E+08    647    264    328    516    329    517
   1221   4.729411443822517E+08    998    156     24    308     25    309
   1222   4.729411443822517E+08    484     76    539    383    540    384
   1223   4.729411443822517E+08    834    -84    252    127    253    128
   1224   4.729411443822517E+08    666   -148    431    116    432    117
   1225   4.729411443822517E+08    598   -196    510     91    511     92
   1226   4.729411443822517E+08    617    160    387    425    388    426
   1227   4.729411468895916E+08    851     -2    212    201    213    202
   1228   4.729411493969317E+08    866    230    128    418    129    419
   1229   4.729411493969317E+08    489     96    529    401    530    402
   1230   4.729411493969317E+08    612    127    401    394    402    395
   1231   4.729411493969317E+08    598   -195    510     91    511     92
